id,city,name,entity,country,sources,isMobile,isAnalysis,parameters,sensorType,lastUpdated,firstUpdated,measurements,coordinates.latitude,coordinates.longitude
2993,Berlin,DEBE034,government,DE,"[{'id': 'eea', 'url': 'http://www.eea.europa.eu/themes/air/air-quality', 'name': 'EEA'}]",False,False,"[{'id': 6354, 'unit': 'µg/m³', 'count': 25241, 'average': 18.9750235727586, 'lastValue': 3.96, 'parameter': 'pm10', 'displayName': 'PM10', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 1, 'firstUpdated': '2016-11-21T11:00:00+00:00'}, {'id': 6353, 'unit': 'µg/m³', 'count': 25807, 'average': 38.5073069322277, 'lastValue': 63.83, 'parameter': 'o3', 'displayName': 'O₃ mass', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 3, 'firstUpdated': '2016-11-21T11:00:00+00:00'}, {'id': 1300115, 'unit': 'µg/m³', 'count': 1608, 'average': 11.8924253731343, 'lastValue': 2.29, 'parameter': 'pm25', 'displayName': 'PM2.5', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2021-04-18T00:00:00+00:00'}, {'id': 6352, 'unit': 'µg/m³', 'count': 24977, 'average': 21.3158846138447, 'lastValue': 3.88, 'parameter': 'no2', 'displayName': 'NO₂ mass', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 5, 'firstUpdated': '2016-11-21T11:00:00+00:00'}]",reference grade,2021-12-02 01:00:00+00:00,2016-11-21 11:00:00+00:00,77633,52.489451,13.430844
3017,Berlin,DEBE066,government,DE,"[{'id': 'eea', 'url': 'http://www.eea.europa.eu/themes/air/air-quality', 'name': 'EEA'}]",False,False,"[{'id': 6415, 'unit': 'µg/m³', 'count': 24965, 'average': 16.996307630683, 'lastValue': 2.75, 'parameter': 'no2', 'displayName': 'NO₂ mass', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 5, 'firstUpdated': '2016-11-21T11:00:00+00:00'}, {'id': 6416, 'unit': 'µg/m³', 'count': 15749, 'average': 1.2683662454759, 'lastValue': 1.53, 'parameter': 'so2', 'displayName': 'SO₂ mass', 'lastUpdated': '2019-04-01T06:00:00+00:00', 'parameterId': 6, 'firstUpdated': '2016-11-21T11:00:00+00:00'}]",reference grade,2021-12-02 01:00:00+00:00,2016-11-21 11:00:00+00:00,40714,52.485296,13.529504
3019,Berlin,DEBE068,government,DE,"[{'id': 'eea', 'url': 'http://www.eea.europa.eu/themes/air/air-quality', 'name': 'EEA'}]",False,False,"[{'id': 6422, 'unit': 'µg/m³', 'count': 25379, 'average': 18.7709042909492, 'lastValue': 5.99, 'parameter': 'pm10', 'displayName': 'PM10', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 1, 'firstUpdated': '2016-11-21T11:00:00+00:00'}, {'id': 1300119, 'unit': 'µg/m³', 'count': 1590, 'average': 12.5320754716981, 'lastValue': 2.95, 'parameter': 'pm25', 'displayName': 'PM2.5', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2021-04-18T00:00:00+00:00'}, {'id': 6418, 'unit': 'µg/m³', 'count': 25075, 'average': 21.1154261216347, 'lastValue': 3.63, 'parameter': 'no2', 'displayName': 'NO₂ mass', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 5, 'firstUpdated': '2016-11-21T11:00:00+00:00'}]",reference grade,2021-12-02 01:00:00+00:00,2016-11-21 11:00:00+00:00,52044,52.513606,13.418833
3025,Berlin,DEBE063,government,DE,"[{'id': 'eea', 'url': 'http://www.eea.europa.eu/themes/air/air-quality', 'name': 'EEA'}]",False,False,"[{'id': 6430, 'unit': 'µg/m³', 'count': 25354, 'average': 23.8123428255897, 'lastValue': 10.24, 'parameter': 'pm10', 'displayName': 'PM10', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 1, 'firstUpdated': '2016-11-21T11:00:00+00:00'}, {'id': 1300118, 'unit': 'µg/m³', 'count': 1623, 'average': 14.0292051756007, 'lastValue': 4.17, 'parameter': 'pm25', 'displayName': 'PM2.5', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2021-04-18T00:00:00+00:00'}, {'id': 6429, 'unit': 'µg/m³', 'count': 25167, 'average': 36.5390408074061, 'lastValue': 5.11, 'parameter': 'no2', 'displayName': 'NO₂ mass', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 5, 'firstUpdated': '2016-11-21T11:00:00+00:00'}]",reference grade,2021-12-02 01:00:00+00:00,2016-11-21 11:00:00+00:00,52144,52.467534,13.441654
3026,Berlin,DEBE018,government,DE,"[{'id': 'eea', 'url': 'http://www.eea.europa.eu/themes/air/air-quality', 'name': 'EEA'}]",False,False,"[{'id': 6431, 'unit': 'µg/m³', 'count': 25074, 'average': 20.5392023610114, 'lastValue': 3.67, 'parameter': 'no2', 'displayName': 'NO₂ mass', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 5, 'firstUpdated': '2016-11-21T13:00:00+00:00'}]",reference grade,2021-12-02 01:00:00+00:00,2016-11-21 13:00:00+00:00,25074,52.485814,13.348775
4582,Berlin,DEBE032,government,DE,"[{'id': 'eea', 'url': 'http://www.eea.europa.eu/themes/air/air-quality', 'name': 'EEA'}]",False,False,"[{'id': 11363, 'unit': 'µg/m³', 'count': 24591, 'average': 14.5778467732093, 'lastValue': 5.63, 'parameter': 'pm10', 'displayName': 'PM10', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 1, 'firstUpdated': '2016-11-21T13:00:00+00:00'}, {'id': 1300113, 'unit': 'µg/m³', 'count': 1599, 'average': 11.1937898686679, 'lastValue': 2.77, 'parameter': 'pm25', 'displayName': 'PM2.5', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2021-04-18T00:00:00+00:00'}, {'id': 11365, 'unit': 'µg/m³', 'count': 24934, 'average': 11.5682995107079, 'lastValue': 2.24, 'parameter': 'no2', 'displayName': 'NO₂ mass', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 5, 'firstUpdated': '2016-11-21T13:00:00+00:00'}, {'id': 11364, 'unit': 'µg/m³', 'count': 25893, 'average': 37.4468837137446, 'lastValue': 63.77, 'parameter': 'o3', 'displayName': 'O₃ mass', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 3, 'firstUpdated': '2016-11-21T13:00:00+00:00'}]",reference grade,2021-12-02 01:00:00+00:00,2016-11-21 13:00:00+00:00,77017,52.473192,13.225144
4761,Berlin,DEBE010,government,DE,"[{'id': 'eea', 'url': 'http://www.eea.europa.eu/themes/air/air-quality', 'name': 'EEA'}]",False,False,"[{'id': 11987, 'unit': 'µg/m³', 'count': 25881, 'average': 36.7817947529075, 'lastValue': 61.01, 'parameter': 'o3', 'displayName': 'O₃ mass', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 3, 'firstUpdated': '2016-11-21T13:00:00+00:00'}, {'id': 1300112, 'unit': 'µg/m³', 'count': 1629, 'average': 11.5259668508287, 'lastValue': 2.54, 'parameter': 'pm25', 'displayName': 'PM2.5', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2021-04-18T00:00:00+00:00'}, {'id': 11988, 'unit': 'µg/m³', 'count': 25250, 'average': 23.8385255445541, 'lastValue': 7.55, 'parameter': 'no2', 'displayName': 'NO₂ mass', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 5, 'firstUpdated': '2016-11-21T13:00:00+00:00'}, {'id': 11986, 'unit': 'µg/m³', 'count': 25471, 'average': 17.6260755368847, 'lastValue': 4.78, 'parameter': 'pm10', 'displayName': 'PM10', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 1, 'firstUpdated': '2016-11-21T13:00:00+00:00'}]",reference grade,2021-12-02 01:00:00+00:00,2016-11-21 13:00:00+00:00,78231,52.543041,13.349326
4762,Berlin,DEBE061,government,DE,"[{'id': 'eea', 'url': 'http://www.eea.europa.eu/themes/air/air-quality', 'name': 'EEA'}]",False,False,"[{'id': 11990, 'unit': 'µg/m³', 'count': 24795, 'average': 32.585677757612, 'lastValue': 2.9, 'parameter': 'no2', 'displayName': 'NO₂ mass', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 5, 'firstUpdated': '2016-11-21T11:00:00+00:00'}, {'id': 1300114, 'unit': 'µg/m³', 'count': 1593, 'average': 13.8645009416196, 'lastValue': 3.75, 'parameter': 'pm25', 'displayName': 'PM2.5', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2021-04-18T00:00:00+00:00'}, {'id': 11989, 'unit': 'µg/m³', 'count': 25376, 'average': 20.9587965006305, 'lastValue': 6.42, 'parameter': 'pm10', 'displayName': 'PM10', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 1, 'firstUpdated': '2016-11-21T11:00:00+00:00'}, {'id': 11991, 'unit': 'µg/m³', 'count': 26022, 'average': -27.1766197832603, 'lastValue': 170, 'parameter': 'co', 'displayName': 'CO mass', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 4, 'firstUpdated': '2016-11-21T11:00:00+00:00'}]",reference grade,2021-12-02 01:00:00+00:00,2016-11-21 11:00:00+00:00,77786,52.463611,13.31825
4763,Berlin,DEBE027,government,DE,"[{'id': 'eea', 'url': 'http://www.eea.europa.eu/themes/air/air-quality', 'name': 'EEA'}]",False,False,"[{'id': 11993, 'unit': 'µg/m³', 'count': 24468, 'average': 12.0974975478171, 'lastValue': 2.52, 'parameter': 'no2', 'displayName': 'NO₂ mass', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 5, 'firstUpdated': '2016-11-21T13:00:00+00:00'}, {'id': 11992, 'unit': 'µg/m³', 'count': 24813, 'average': 41.7116092370935, 'lastValue': 64.96, 'parameter': 'o3', 'displayName': 'O₃ mass', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 3, 'firstUpdated': '2016-11-21T13:00:00+00:00'}]",reference grade,2021-12-02 01:00:00+00:00,2016-11-21 13:00:00+00:00,49281,52.398406,13.368103
4764,Berlin,DEBE069,government,DE,"[{'id': 'eea', 'url': 'http://www.eea.europa.eu/themes/air/air-quality', 'name': 'EEA'}]",False,False,"[{'id': 1300109, 'unit': 'µg/m³', 'count': 1623, 'average': 13.6641035120148, 'lastValue': 4, 'parameter': 'pm25', 'displayName': 'PM2.5', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 2, 'firstUpdated': '2021-04-18T00:00:00+00:00'}, {'id': 11994, 'unit': 'µg/m³', 'count': 25105, 'average': 21.6766540529775, 'lastValue': 7.74, 'parameter': 'pm10', 'displayName': 'PM10', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 1, 'firstUpdated': '2016-11-21T11:00:00+00:00'}, {'id': 11995, 'unit': 'µg/m³', 'count': 25111, 'average': 34.0786149496233, 'lastValue': 6.44, 'parameter': 'no2', 'displayName': 'NO₂ mass', 'lastUpdated': '2021-12-02T01:00:00+00:00', 'parameterId': 5, 'firstUpdated': '2016-11-21T11:00:00+00:00'}]",reference grade,2021-12-02 01:00:00+00:00,2016-11-21 11:00:00+00:00,51839,52.438115,13.38772
